FID,OBJECTID,ENTITY,LAYER1,ACTIVE,ROW_ID,COL_ID,ACRES,CELL_INTGR,Diff,Cal
15846,5860,Polyline,1,0,27.000000000000000,114.000000000000000,639.996999999999957,1027114,0.0000000,0.0000000
15847,15261,Polyline,1,0,74.000000000000000,191.000000000000000,639.996999999999957,1074191,0.0000000,0.0000000
15848,3694,Polyline,1,0,16.000000000000000,96.000000000000000,639.996999999999957,1016096,0.0000000,0.0000000
15849,13526,Polyline,1,1,63.000000000000000,173.000000000000000,639.996999999999957,1063173,0.0146367,0.0543512
15850,566,Polyline,1,0,5.000000000000000,78.000000000000000,639.996999999999957,1005078,0.0000000,0.0000000
15851,11299,Polyline,1,1,52.000000000000000,155.000000000000000,639.996999999999957,1052155,0.0096002,0.0842784
15852,8642,Polyline,1,1,41.000000000000000,137.000000000000000,639.996999999999957,1041137,-0.0020793,0.2132530
15853,5879,Polyline,1,0,30.000000000000000,119.000000000000000,639.996999999999957,1030119,0.0000000,0.0000000
15854,16218,Polyline,1,0,77.000000000000000,196.000000000000000,639.996999999999957,1077196,0.0000000,0.0000000
15855,2158,Polyline,1,0,19.000000000000000,101.000000000000000,639.996999999999957,1019101,0.0000000,0.0000000
15856,14151,Polyline,1,1,66.000000000000000,178.000000000000000,639.996999999999957,1066178,0.0074852,0.0897411
15857,1028,Polyline,1,0,8.000000000000000,83.000000000000000,639.996999999999957,1008083,0.0000000,0.0000000
15858,11934,Polyline,1,1,55.000000000000000,160.000000000000000,639.996999999999957,1055160,0.0165723,0.0566232
15859,9597,Polyline,1,1,44.000000000000000,142.000000000000000,639.996999999999957,1044142,-0.0024768,0.2089800
15860,7225,Polyline,1,0,33.000000000000000,124.000000000000000,639.996999999999957,1033124,0.0000000,0.0000000
15861,17524,Polyline,1,0,80.000000000000000,201.000000000000000,639.996999999999957,1080201,0.0000000,0.0000000
15862,4881,Polyline,1,0,22.000000000000000,106.000000000000000,639.996999999999957,1022106,0.0000000,0.0000000
15863,14680,Polyline,1,1,69.000000000000000,183.000000000000000,639.996999999999957,1069183,0.0012701,0.1302260
15864,2745,Polyline,1,0,11.000000000000000,88.000000000000000,639.996999999999957,1011088,0.0000000,0.0000000
15865,12626,Polyline,1,1,58.000000000000000,165.000000000000000,639.996999999999957,1058165,0.0204130,0.0445036
15866,10006,Polyline,1,1,47.000000000000000,147.000000000000000,639.996999999999957,1047147,-0.0001299,0.1854710
15867,8005,Polyline,1,1,36.000000000000000,129.000000000000000,639.996999999999957,1036129,0.0001221,0.1948740
15868,17996,Polyline,1,0,83.000000000000000,206.000000000000000,639.996999999999957,1083206,0.0000000,0.0000000
15869,5459,Polyline,1,1,25.000000000000000,111.000000000000000,639.996999999999957,1025111,-0.0563285,0.0923436
15870,15129,Polyline,1,0,72.000000000000000,188.000000000000000,639.996999999999957,1072188,0.0000000,0.0000000
15871,3273,Polyline,1,0,14.000000000000000,93.000000000000000,639.996999999999957,1014093,0.0000000,0.0000000
15872,13133,Polyline,1,1,61.000000000000000,170.000000000000000,639.996999999999957,1061170,0.0186662,0.0455385
15873,1102,Polyline,1,0,3.000000000000000,75.000000000000000,639.996999999999957,1003075,0.0000000,0.0000000
15874,10864,Polyline,1,1,50.000000000000000,152.000000000000000,639.996999999999957,1050152,0.0051989,0.1127160
15875,6061,Polyline,1,1,39.000000000000000,134.000000000000000,639.996999999999957,1039134,-0.0010511,0.2111150
15876,5991,Polyline,1,0,28.000000000000000,116.000000000000000,639.996999999999957,1028116,0.0000000,0.0000000
15877,7876,Polyline,1,0,75.000000000000000,193.000000000000000,639.996999999999957,1075193,0.0000000,0.0000000
